title,genre,year,rating
Vikram,Action,2022,8.4
96,Romance,2018,8.6
Asuran,Drama,2019,8.5
Super Deluxe,Thriller,2019,8.3
Kaithi,Action,2019,8.5
Maara,Romance,2021,7.6
Jai Bhim,Drama,2021,8.8
Ratsasan,Thriller,2018,8.4
